#t (s)	X1 (m)	Y1 (m)
0	-0,953328037081172	-0,046666407409568
0,04	-0,879995111151852	0,069999611114352
0,08	-0,799995555592592	0,166665740748457
0,12	-0,716662685218364	0,253331925937654
0,16	-0,636663129659105	0,326664851866975
0,2	-0,559996888914815	0,389997833351389
0,24	-0,479997333355555	0,433330925945988
0,28	-0,393331148166358	0,469997388910648
0,32	-0,313331592607099	0,486663962985494
0,36	-0,233332037047839	0,493330592615432
0,4	-0,149999166673611	0,489997277800463
0,44	-0,066666296299383	0,469997388910648
0,48	0,013333259259877	0,433330925945988
0,52	0,096666129634105	0,38666451853642
0,56	0,179999000008333	0,323331537052006
0,6	0,259998555567592	0,249998611122685
0,64	0,343331425941821	0,156665796303549
0,68	0,426664296316049	0,053333037039506
0,72	0,506663851875308	-0,063332981484414
0,76	0,586663407434568	-0,189998944453241
0,8	0,663329648178858	-0,333331481496913
0,84	0,743329203738117	-0,486663962985494
0,88	0,819995444482407	-0,65332970373395
0,92	0,893328370411728	-0,789995611147685
0,96	0,973327925970987	-0,646663074104012
1	1,04666085190031	-0,516663796320216
1,04	1,1233270926446	-0,403331092611265
